Description,Currency,Container-type,Container size,Unit,Rate/unit
Import Service,EUR,standard,40HC,PER_CONTAINER,25.0
Documentation fee - Destination,EUR,standard,45HC,PER_BL,65.0
Terminal Handling Service - Destination,EUR,standard,45HC,PER_CONTAINER,130.0
Import Service,EUR,standard,45HC,PER_CONTAINER,25.0

port,FRMNM1
Documentation fee - Destination,EUR,standard,20,PER_BL,25.0
Terminal Handling Service - Destination,EUR,standard,20,PER_CONTAINER,205.0
Import Service,EUR,standard,20,PER_CONTAINER,0.0
Documentation fee - Destination,EUR,standard,40,PER_BL,25.0
Terminal Handling Service - Destination,EUR,standard,40,PER_CONTAINER,205.0
Import Service,EUR,standard,40,PER_CONTAINER,0.0
Documentation fee - Destination,EUR,standard,40HC,PER_BL,25.0
Terminal Handling Service - Destination,EUR,standard,40HC,PER_CONTAINER,205.0
Import Service,EUR,standard,40HC,PER_CONTAINER,0.0
Documentation fee - Destination,EUR,standard,45HC,PER_BL,25.0
Terminal Handling Service - Destination,EUR,standard,45HC,PER_CONTAINER,205.0
Import Service,EUR,standard,45HC,PER_CONTAINER,0.0

port,NOOSL1
Documentation fee - Destination,EUR,standard,20,PER_BL,50.0
Terminal Handling Service - Destination,EUR,standard,20,PER_CONTAINER,0.0
Import Service,EUR,standard,20,PER_CONTAINER,155.19
Documentation fee - Destination,EUR,standard,40,PER_BL,50.0
Terminal Handling Service - Destination,EUR,standard,40,PER_CONTAINER,0.0
Import Service,EUR,standard,40,PER_CONTAINER,155.19
Documentation fee - Destination,EUR,standard,40HC,PER_BL,50.0
Terminal Handling Service - Destination,EUR,standard,40HC,PER_CONTAINER,0.0
Import Service,EUR,standard,40HC,PER_CONTAINER,155.19

port,FIOLK1
Documentation fee - Destination,EUR,standard,20,PER_BL,65.0
Terminal Handling Service - Destination,EUR,standard,20,PER_CONTAINER,130.0
Documentation fee - Destination,EUR,standard,40,PER_BL,65.0
Terminal Handling Service - Destination,EUR,standard,40,PER_CONTAINER,130.0
Documentation fee - Destination,EUR,standard,40HC,PER_BL,65.0
Terminal Handling Service - Destination,EUR,standard,40HC,PER_CONTAINER,130.0
Documentation fee - Destination,EUR,standard,45HC,PER_BL,65.0
